times,prevXsusceptibleXamong,prevXexposedXamong,prevXinfectiousXamong,prevXrecoveredXamong,prevXinfectiousXamongXagegroup_0,prevXinfectiousXamongXagegroup_5,prevXinfectiousXamongXagegroup_10,prevXinfectiousXamongXagegroup_15,prevXinfectiousXamongXagegroup_20,prevXinfectiousXamongXagegroup_25,prevXinfectiousXamongXagegroup_30,prevXinfectiousXamongXagegroup_35,prevXinfectiousXamongXagegroup_40,prevXinfectiousXamongXagegroup_45,prevXinfectiousXamongXagegroup_50,prevXinfectiousXamongXagegroup_55,prevXinfectiousXamongXagegroup_60,prevXinfectiousXamongXagegroup_65,prevXinfectiousXamongXagegroup_70,prevXinfectiousXamongXagegroup_75
0.0,0.9999145370181838,0.0,8.546298181625502e-05,0.0,8.546298181625501e-05,8.5462981816255e-05,8.546298181625501e-05,8.546298181625502e-05,8.546298181625501e-05,8.5462981816255e-05,8.546298181625502e-05,8.546298181625501e-05,8.546298181625502e-05,8.546298181625501e-05,8.546298181625501e-05,8.546298181625501e-05,8.546298181625502e-05,8.546298181625502e-05,8.546298181625501e-05,8.546298181625502e-05
1.0,0.99989099536053,2.246800020524401e-05,7.613834649758293e-05,1.039829276710279e-05,7.539028560022758e-05,7.566117333747783e-05,7.584148354593061e-05,7.63723339174934e-05,7.612817214638603e-05,7.61080727705164e-05,7.614873820573098e-05,7.617999794271318e-05,7.630704734848452e-05,7.610957351234845e-05,7.584553390215743e-05,7.565428915722646e-05,7.661897581133719e-05,7.651460631207025e-05,7.688860544486808e-05,7.680647910371811e-05
2.0,0.9998696130404444,3.829391258427029e-05,7.171957353179276e-05,2.0373473439486074e-05,6.914169119646128e-05,7.069398237807859e-05,7.158335411747115e-05,7.465799080676201e-05,7.28115330784102e-05,7.269361223519581e-05,7.255572927226713e-05,7.273514998288471e-05,7.29051056188206e-05,7.176343035860011e-05,7.177562115110994e-05,7.067038430669763e-05,7.103181897031202e-05,7.042891428019377e-05,7.07852098763944e-05,7.030652024735527e-05
3.0,0.999848995910734,4.8656746604994574e-05,7.24558437474773e-05,2.9891498913614776e-05,6.695593177509115e-05,7.073536129595293e-05,7.290111737850363e-05,8.058349972361092e-05,7.585117239356553e-05,7.55446334702193e-05,7.494656250215935e-05,7.53810933903039e-05,7.551792940384666e-05,7.268604520845414e-05,7.350695332399887e-05,7.076146127406945e-05,6.892930395396423e-05,6.743401089811031e-05,6.735652321325713e-05,6.615743141604872e-05
4.0,0.9998279283159809,5.5863983716314655e-05,7.702631022318361e-05,3.918139007959639e-05,6.7796503095333e-05,7.430293576257234e-05,7.823462128391012e-05,9.208462211156327e-05,8.375120477653952e-05,8.315857307213371e-05,8.175719584102085e-05,8.249334118647536e-05,8.257105737410721e-05,7.753970209790632e-05,7.949896196209252e-05,7.460087465269468e-05,6.950579830870028e-05,6.684765794613957e-05,6.603824235676194e-05,6.388439474768105e-05
5.0,0.9998055333705842,6.176740958543465e-05,8.413166602769667e-05,4.856755380261832e-05,7.058635402002422e-05,7.987429974885051e-05,8.60266406051094e-05,0.000107214468444119,9.512068365160414e-05,9.41239721789051e-05,9.147019845744128e-05,9.248868961824649e-05,9.253704269508628e-05,8.501183395713264e-05,8.823912765605032e-05,8.085989967688312e-05,7.193462633045414e-05,6.79540124514767e-05,6.623158144570136e-05,6.297306058616924e-05
6.0,0.999781194398037,6.753726277027788e-05,9.289635726729489e-05,5.8371981925373484e-05,7.45508003368932e-05,8.634615525166939e-05,9.519011714973592e-05,0.00012472521295471832,0.0001091137371300408,0.00010756448419546171,0.00010307955868918802,0.00010430646349585332,0.0001044013484098347,9.422209860915386e-05,9.870717389842146e-05,8.862121120171134e-05,7.563386672734525e-05,7.023875383703767e-05,6.750131233714252e-05,6.304305426897005e-05
7.0,0.9997544546654279,7.380765667812092e-05,0.00010286778852752458,6.8869889366437e-05,7.924574300261336e-05,9.307922715313798e-05,0.00010512281030511198,0.00014403045679616566,0.00012538234407723984,0.0001230998993049529,0.00011608112141864577,0.00011740341711014868,0.00011765205375136225,0.00010471862782208594,0.00011037630482497315,9.739193208058753e-05,8.027775876670732e-05,7.34039597429761e-05,6.958994396209953e-05,6.386360744392718e-05
8.0,0.9997249219414345,8.089958467755865e-05,0.00011389081191678585,8.028766197120927e-05,8.447489670865354e-05,9.978856070603514e-05,0.00011557091866253604,0.0001649903930979648,0.00014390369204765393,0.00014067842702821046,0.00013031964707943512,0.00013159857825310355,0.0001321259220091067,0.00011634891092039791,0.00012306877497687637,0.00010698553922673337,8.572606604444442e-05,7.731032157217637e-05,7.23708558298625e-05,6.531556560959106e-05
9.0,0.9996922067673348,8.899272714912285e-05,0.00012598487952669894,9.281562598935804e-05,9.019884322660672e-05,0.00010641822941950956,0.00012648923837145452,0.0001877126579025251,0.00016482798619065714,0.0001604263096612415,0.00014584172265794825,0.00014692221928684933,0.0001478607113635153,0.00012913463196846233,0.0001368130465575102,0.00011740114594452081,9.195211170744535e-05,8.191685331236267e-05,7.579904117468042e-05,6.73503030843204e-05
10.0,0.9996559213964566,9.81982559461429e-05,0.00013926498043026185,0.0001066153671669899,9.647013385029553e-05,0.00011304607163703734,0.00013794948941973012,0.00021243038532505555,0.00018838968082427203,0.0001825586571039071,0.00016280205859124745,0.0001635188610347376,0.00016500204794949442,0.00014319235483991846,0.00015174986803690197,0.00012874190335904906,9.899596864931448e-05,8.72418599658349e-05,7.987967202430692e-05,6.996337705733797e-05
11.0,0.9996156308386005,0.0001086294414561593,0.0001538912942293993,0.00012184842571386644,0.00010338431814752384,0.00011981023564881954,0.00015007291961993387,0.00023943398277094025,0.00021486826261724807,0.00020733679273439968,0.0001814066802265193,0.00018158606104431592,0.0001837461020839138,0.00015868355473293554,0.00016807245961705656,0.0001411597514176188,0.00010693061555947658,9.333270229261665e-05,8.464256160670742e-05,7.317187252727487e-05
12.0,0.9995708520627067,0.00012040009377819952,0.00017006862562535886,0.0001386792178896615,0.00011107631856961245,0.0001269010239156329,0.00016302789059004471,0.0002690730170933168,0.00024459306541657296,0.00023507218016064984,0.00020191288351552504,0.00020137376153517522,0.00020433981183624525,0.00017581463263353244,0.00018602492888736158,0.00015485295496153205,0.00011586127052928887,0.0001002652540887021,9.01418817846518e-05,7.701404010621485e-05
13.0,0.9995210474270221,0.00013363676261871093,0.00018803155134939343,0.00015728425900981644,0.00011970340072376744,0.00013453272123224732,0.0001770089667221867,0.0003017381130533466,0.0002779357324490523,0.0002661172303479651,0.00022461283887698313,0.00022316620653877007,0.00022706471130081232,0.00019482272239369593,0.00020588366635104224,0.00017004814670385315,0.0001259154730506978,0.00010813522223982048,9.644910035681697e-05,8.154299161581206e-05
14.0,0.9994656196318675,0.00014849174146056466,0.000208031180183965,0.00017785744648798557,0.0001294316657316198,0.00014292248016784813,0.0001922202564064699,0.000337843508867086,0.00031529980537819155,0.00030085412120604875,0.00024981865701585254,0.0002472660088438905,0.00025222218451318405,0.00021596277799272262,0.00022794127905481168,0.00018698530674751107,0.00013723424933838367,0.00011705050046984638,0.0001036467218449899,8.682120999959035e-05
15.0,0.9994039507363358,0.00016512945160621312,0.00023031937054853507,0.0002006004415094274,0.00014042257144976546,0.00015227038980920033,0.00020886132588166886,0.0003778045319968991,0.0003571003813181761,0.0003396749771468661,0.00027784353661099674,0.0002739754141410257,0.0002801154759558314,0.00023949201483694035,0.00025248772068398154,0.00020590106400885681,0.0001499621903661136,0.00012712328694831145,0.00011182216453944137,9.29156278046834e-05
16.0,0.9993352879130196,0.00018375331346256552,0.0002551965241714231,0.00022576224934632542,0.00015286193562639267,0.0001627942266755916,0.0002271645699532719,0.00042211844876332763,0.00040384543992764814,0.0003830584256831668,0.00030906162337256875,0.00030365386192295003,0.000311107782434809,0.000265718963153159,0.0002798651127707376,0.00022707275220854592,0.0001642742091938689,0.0001384906639472215,0.0001210837328973419,9.990969340413627e-05
17.0,0.9992587154417805,0.00020461089557294326,0.00028302712678521854,0.0002536465358614607,0.0001669741061375318,0.00017475502160221266,0.00024741126982214147,0.0004713892355732867,0.0004561533402531233,0.00043158692576733716,0.00034392702480725787,0.0003367373848206776,0.00034564007630845915,0.00029501823571900944,0.0003104881005473896,0.0002508361288668479,0.00018038263480001218,0.0001513191797567754,0.00013156320149653974,0.00010790498834525918
18.0,0.9991733096171018,0.00022795709138981012,0.00031416507565596254,0.00028456821585250624,0.00018296122808068605,0.00018835881208747627,0.0002698623808615369,0.0005262090200469948,0.000514653932516567,0.00048585106599054634,0.0003828822189154472,0.00037364725610312185,0.0003841442028057045,0.00032775750006537856,0.0003447512684623609,0.00027750609367837095,0.00019849811443948992,0.00016577682564372878,0.00014339664190780483,0.00011700741920665142
19.0,0.9990780770838814,0.0002540666480825483,0.00034899170288186013,0.0003188645651541678,0.00020104350102683372,0.00020383400620302753,0.0002948005212448526,0.0005872146493846578,0.0005800218744839074,0.0005464837993235507,0.0004264036479865991,0.00041483751280168034,0.0004270848434961589,0.0003643323952944968,0.00038308087236512073,0.00030742357819194113,0.00021884718083927692,0.00018204397966601506,0.0001567298320281359,0.00012733041538350514
