period,age,best,low,high
1,"[0,10)",5.88,1.41,24.49
1,"[10,20)",2.49,1.14,5.45
1,"[20,30)",1.4,0.63,3.08
1,"[30,40)",2.68,1.33,5.4
1,"[40,50)",3.01,1.65,5.51
1,"[50,60)",4.4,2.55,7.61
1,"[60,70)",2.76,1.58,4.82
1,"[70,80)",2.9,1.57,5.35
1,"[80,90)",2.14,1.2,3.83
1,90+,1.75,0.64,4.77
2,"[0,10)",5.11,1.87,13.94
2,"[10,20)",5.15,3.21,8.26
2,"[20,30)",7.62,4.89,11.86
2,"[30,40)",5.51,3.32,9.13
2,"[40,50)",6.29,4.05,9.78
2,"[50,60)",7.15,4.82,10.62
2,"[60,70)",3.83,2.27,6.48
2,"[70,80)",4.36,2.36,8.05
2,"[80,90)",8.65,5.37,13.93
2,90+,15.05,9.68,23.4
3,"[0,10)",11.16,6.87,18.16
3,"[10,20)",5.49,3.58,8.41
3,"[20,30)",8.84,6.11,12.79
3,"[30,40)",6.73,4.51,10.04
3,"[40,50)",8.45,5.75,12.42
3,"[50,60)",5.75,3.74,8.84
3,"[60,70)",3.95,2.38,6.58
3,"[70,80)",3.72,1.78,7.79
3,"[80,90)",7.31,4.06,13.17
3,90+,10.71,5.72,20.05
4,"[0,10)",3.55,1.44,8.72
4,"[10,20)",7.52,5.01,11.27
4,"[20,30)",7.52,5.01,11.28
4,"[30,40)",4.99,3.17,7.87
4,"[40,50)",6.3,4.06,9.77
4,"[50,60)",6.65,4.4,10.04
4,"[60,70)",5.21,3.33,8.16
4,"[70,80)",2.01,0.7,5.73
4,"[80,90)",2.57,1.04,6.37
4,90+,6.86,3.38,13.91
5,"[0,10)",3.76,1.38,10.25
5,"[10,20)",8.98,6.3,12.8
5,"[20,30)",7.01,4.62,10.63
5,"[30,40)",5.62,3.53,8.92
5,"[40,50)",2.73,1.48,5.03
5,"[50,60)",3.71,2.21,6.21
5,"[60,70)",2.07,1.06,4.05
5,"[70,80)",2.65,1.08,6.49
5,"[80,90)",2.99,1.21,7.34
5,90+,5.66,2.7,11.86
,,,,
