age,N_PoC,perc_PoC,N_immu,perc_immu,perc_both,perc_either,population
0,240,1.1 (0.3&&3.5) ,29,0.0 (0.0&&11.9) ,0.0 (0.0&&11.9) ,0.0 (0.0&&11.9) ,0
1&&4 ,1681,2.1 (1.3&&3.4) ,379,3.5 (1.7&&6.8) ,2.6 (1.2&&5.5) ,4.0 (2.1&&7.4) ,1990096
5&&9 ,2846,3.1 (2.2&&4.2) ,1182,3.6 (2.3&&5.7) ,2.9 (1.7&&4.9) ,4.8 (3.3&&7.0) ,2244390
10&&14 ,3428,4.0 (3.1&&5.0) ,2283,4.1 (3.1&&5.5) ,3.5 (2.5&&4.7) ,5.4 (4.2&&7.0) ,2497953
15&&19 ,3227,3.7 (2.9&&4.8) ,2654,3.8 (2.8&&5.0) ,3.1 (2.3&&4.3) ,4.6 (3.6&&5.9) ,2238123
20&&24 ,2813,4.5 (3.5&&5.7) ,2479,5.5 (4.3&&7.0) ,3.7 (2.7&&4.9) ,6.6 (5.3&&8.1) ,2255910
25&&29 ,2618,4.7 (3.6&&6.2) ,2329,5.4 (4.1&&7.1) ,3.9 (2.8&&5.5) ,6.5 (5.1&&8.3) ,2361689
30&&34 ,3038,4.0 (3.1&&5.2) ,2761,4.3 (3.3&&5.4) ,3.3 (2.4&&4.4) ,5.1 (4.1&&6.4) ,2618971
35&&39 ,4012,4.7 (3.8&&5.8) ,3684,4.8 (3.9&&6.0) ,3.6 (2.8&&4.6) ,6.0 (5.0&&7.3) ,3283021
40&&44 ,5145,5.2 (4.4&&6.1) ,4736,4.7 (3.9&&5.7) ,3.8 (3.0&&4.6) ,6.2 (5.3&&7.3) ,4000876
45&&49 ,5375,5.8 (4.9&&6.8) ,4934,5.1 (4.2&&6.2) ,4.1 (3.3&&5.2) ,7.1 (6.1&&8.3) ,3937623
50&&54 ,5279,5.8 (4.9&&6.9) ,4824,4.9 (4.0&&5.9) ,4.2 (3.3&&5.2) ,6.6 (5.5&&7.7) ,3632242
55&&59 ,5215,5.9 (5.0&&6.9) ,4828,4.9 (4.1&&5.9) ,3.9 (3.1&&4.9) ,6.9 (5.9&&8.0) ,3414085
60&&64 ,4600,5.8 (4.8&&6.9) ,4254,4.1 (3.3&&5.2) ,3.5 (2.7&&4.6) ,6.3 (5.3&&7.5) ,2939311
65&&69 ,3592,6.1 (5.0&&7.4) ,3310,4.9 (3.8&&6.3) ,4.1 (3.1&&5.3) ,7.2 (5.9&&8.7) ,2401343
70&&74 ,2951,6.6 (5.4&&8.1) ,2736,4.6 (3.5&&5.9) ,3.8 (2.8&&5.1) ,6.8 (5.6&&8.3) ,2204148
75&&79 ,2175,5.7 (4.5&&7.4) ,2006,4.2 (3.0&&5.9) ,3.4 (2.4&&5.0) ,6.5 (5.0&&8.5) ,1811156
80&&84 ,1431,5.3 (3.8&&7.3) ,1298,5.0 (3.4&&7.4) ,3.9 (2.4&&6.1) ,6.7 (4.8&&9.1) ,1288337
85&&89 ,973,6.0 (4.2&&8.7) ,872,3.6 (2.1&&6.1) ,3.4 (2.0&&6.0) ,6.7 (4.5&&9.8) ,1039116
90,436,5.4 (3.0&&9.5) ,380,2.4 (1.1&&5.3) ,1.9 (0.8&&4.8) ,4.8 (2.6&&8.8) ,596388
