,Date,Total Death ,Death per day,state,Male,Female,Total,Unnamed: 7,2020-09-01 00:00:00,Unnamed: 9,10-14,Unnamed: 11,15-19,Unnamed: 13,20-25,Unnamed: 15,26-30,Unnamed: 17,31-35,Unnamed: 19,36-40,Unnamed: 21,41-45,Unnamed: 23,46-50,Unnamed: 25,51-55,Unnamed: 27,56-60,Unnamed: 29,61-65,Unnamed: 31,66-70,Unnamed: 33,71-75,Unnamed: 35,76-80,Unnamed: 37,81-85,Unnamed: 39,86-90,Unnamed: 41,91-95,Unnamed: 43,96-100,Unnamed: 45,100-130,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
0,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,
1,2020-03-17 00:00:00,2,2.0,"Johor,Sarawak",2.0,,2.0,0.0,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2,2020-03-18 00:00:00,2,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-19 00:00:00,2,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-03-20 00:00:00,4,2.0,Sarawak,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
5,2020-03-21 00:00:00,8,4.0,"Sabah=1, Melaka=1, Kuching = 2",3.0,1.0,4.0,0.0,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
6,2020-03-22 00:00:00,11,3.0,"Sarawak, Kuala Lumpur, Kelantan",3.0,,3.0,0.0,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,
7,2020-03-23 00:00:00,16,5.0,,4.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,2,,,1,1,,,,1,,,,,,,,,,,,,,,,,,
8,2020-03-24 00:00:00,18,2.0,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
9,2020-03-25 00:00:00,22,4.0,,3.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,
10,2020-03-26 00:00:00,26,4.0,,4.0,,4.0,0.0,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,
11,2020-03-27 00:00:00,28,2.0,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
12,2020-03-28 00:00:00,36,8.0,,5.0,3.0,8.0,0.0,,,,,,,,,1,,,,1,,,,1,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,
13,2020-03-29 00:00:00,37,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
14,2020-03-30 00:00:00,40,3.0,,1.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
15,2020-03-31 00:00:00,43,3.0,,1.0,2.0,3.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
16,2020-04-01 00:00:00,45,2.0,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
17,2020-04-02 00:00:00,50,5.0,,5.0,,5.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,
18,2020-04-03 00:00:00,53,3.0,,1.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,
19,2020-04-04 00:00:00,57,4.0,,2.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,,
