"date","state","question","response","count","respondents"
"2020-03-27","ACT","1.5m compliance","Sometimes",2,17
"2020-03-27","ACT","1.5m compliance","Often",5,17
"2020-03-27","ACT","1.5m compliance","Always",10,17
"2020-04-03","ACT","1.5m compliance","Sometimes",1,10
"2020-04-03","ACT","1.5m compliance","Often",1,10
"2020-04-03","ACT","1.5m compliance","Always",8,10
"2020-04-10","ACT","1.5m compliance","Rarely",1,15
"2020-04-10","ACT","1.5m compliance","Often",5,15
"2020-04-10","ACT","1.5m compliance","Always",9,15
"2020-04-17","ACT","1.5m compliance","Sometimes",1,17
"2020-04-17","ACT","1.5m compliance","Often",4,17
"2020-04-17","ACT","1.5m compliance","Always",12,17
"2020-04-22","ACT","1.5m compliance","Rarely",1,46
"2020-04-22","ACT","1.5m compliance","Sometimes",3,46
"2020-04-22","ACT","1.5m compliance","Often",13,46
"2020-04-22","ACT","1.5m compliance","Always",29,46
"2020-04-29","ACT","1.5m compliance","Sometimes",4,47
"2020-04-29","ACT","1.5m compliance","Often",20,47
"2020-04-29","ACT","1.5m compliance","Always",23,47
"2020-05-06","ACT","cough","Your elbow",28,46
"2020-05-06","ACT","cough","Your hand",4,46
"2020-05-06","ACT","cough","A tissue",5,46
"2020-05-06","ACT","cough","Something else (e.g. a hanky, clothing)",5,46
"2020-05-06","ACT","cough","Nothing",4,46
"2020-05-06","ACT","non-household contact","No",34,46
"2020-05-06","ACT","non-household contact","Yes",12,46
"2020-05-06","ACT","1.5m compliance","Rarely",1,46
"2020-05-06","ACT","1.5m compliance","Sometimes",2,46
"2020-05-06","ACT","1.5m compliance","Often",19,46
"2020-05-06","ACT","1.5m compliance","Always",24,46
"2020-05-06","ACT","hand hygine","Yes, I washed or sanitised my hands immediately afterward",25,46
"2020-05-06","ACT","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",17,46
"2020-05-06","ACT","hand hygine","No",4,46
"2020-05-13","ACT","cough","Your elbow",45,90
"2020-05-13","ACT","cough","Your hand",14,90
"2020-05-13","ACT","cough","A tissue",19,90
"2020-05-13","ACT","cough","Something else (e.g. a hanky, clothing)",10,90
"2020-05-13","ACT","cough","Nothing",2,90
"2020-05-13","ACT","non-household contact","No",66,90
"2020-05-13","ACT","non-household contact","Yes",24,90
"2020-05-13","ACT","1.5m compliance","No",3,90
"2020-05-13","ACT","1.5m compliance","Rarely",4,90
"2020-05-13","ACT","1.5m compliance","Sometimes",5,90
"2020-05-13","ACT","1.5m compliance","Often",30,90
"2020-05-13","ACT","1.5m compliance","Always",48,90
"2020-05-13","ACT","hand hygine","Yes, I washed or sanitised my hands immediately afterward",58,90
"2020-05-13","ACT","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",25,90
"2020-05-13","ACT","hand hygine","No",7,90
"2020-05-20","ACT","cough","Your elbow",59,93
"2020-05-20","ACT","cough","Your hand",11,93
"2020-05-20","ACT","cough","A tissue",12,93
"2020-05-20","ACT","cough","Something else (e.g. a hanky, clothing)",9,93
"2020-05-20","ACT","cough","Nothing",2,93
"2020-05-20","ACT","non-household contact","No",66,93
"2020-05-20","ACT","non-household contact","Yes",27,93
"2020-05-20","ACT","1.5m compliance","Rarely",1,93
"2020-05-20","ACT","1.5m compliance","Sometimes",9,93
"2020-05-20","ACT","1.5m compliance","Often",41,93
"2020-05-20","ACT","1.5m compliance","Always",42,93
"2020-05-20","ACT","hand hygine","Yes, I washed or sanitised my hands immediately afterward",49,93
"2020-05-20","ACT","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",36,93
"2020-05-20","ACT","hand hygine","No",8,93
"2020-05-27","ACT","cough","Your elbow",43,90
"2020-05-27","ACT","cough","Your hand",11,90
"2020-05-27","ACT","cough","A tissue",21,90
"2020-05-27","ACT","cough","Something else (e.g. a hanky, clothing)",14,90
"2020-05-27","ACT","cough","Nothing",1,90
"2020-05-27","ACT","non-household contact","No",58,90
"2020-05-27","ACT","non-household contact","Yes",32,90
"2020-05-27","ACT","1.5m compliance","Rarely",2,90
"2020-05-27","ACT","1.5m compliance","Sometimes",11,90
"2020-05-27","ACT","1.5m compliance","Often",37,90
"2020-05-27","ACT","1.5m compliance","Always",40,90
"2020-05-27","ACT","hand hygine","Yes, I washed or sanitised my hands immediately afterward",50,90
"2020-05-27","ACT","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",34,90
"2020-05-27","ACT","hand hygine","No",6,90
"2020-03-27","Australia","1.5m compliance","No",12,999
"2020-03-27","Australia","1.5m compliance","Rarely",25,999
"2020-03-27","Australia","1.5m compliance","Sometimes",81,999
"2020-03-27","Australia","1.5m compliance","Often",354,999
"2020-03-27","Australia","1.5m compliance","Always",527,999
"2020-04-03","Australia","1.5m compliance","No",8,1007
"2020-04-03","Australia","1.5m compliance","Rarely",7,1007
"2020-04-03","Australia","1.5m compliance","Sometimes",59,1007
"2020-04-03","Australia","1.5m compliance","Often",269,1007
"2020-04-03","Australia","1.5m compliance","Always",664,1007
"2020-04-10","Australia","1.5m compliance","No",16,1004
"2020-04-10","Australia","1.5m compliance","Rarely",9,1004
"2020-04-10","Australia","1.5m compliance","Sometimes",45,1004
"2020-04-10","Australia","1.5m compliance","Often",288,1004
"2020-04-10","Australia","1.5m compliance","Always",646,1004
"2020-04-17","Australia","1.5m compliance","No",13,1002
"2020-04-17","Australia","1.5m compliance","Rarely",12,1002
"2020-04-17","Australia","1.5m compliance","Sometimes",48,1002
"2020-04-17","Australia","1.5m compliance","Often",269,1002
"2020-04-17","Australia","1.5m compliance","Always",660,1002
"2020-04-22","Australia","1.5m compliance","No",27,1069
"2020-04-22","Australia","1.5m compliance","Rarely",19,1069
"2020-04-22","Australia","1.5m compliance","Sometimes",80,1069
"2020-04-22","Australia","1.5m compliance","Often",308,1069
"2020-04-22","Australia","1.5m compliance","Always",635,1069
"2020-04-29","Australia","1.5m compliance","No",15,1024
"2020-04-29","Australia","1.5m compliance","Rarely",22,1024
"2020-04-29","Australia","1.5m compliance","Sometimes",90,1024
"2020-04-29","Australia","1.5m compliance","Often",341,1024
"2020-04-29","Australia","1.5m compliance","Always",556,1024
"2020-05-06","Australia","cough","Your elbow",513,1014
"2020-05-06","Australia","cough","Your hand",136,1014
"2020-05-06","Australia","cough","A tissue",201,1014
"2020-05-06","Australia","cough","Something else (e.g. a hanky, clothing)",115,1014
"2020-05-06","Australia","cough","Nothing",49,1014
"2020-05-06","Australia","non-household contact","No",834,1014
"2020-05-06","Australia","non-household contact","Yes",180,1014
"2020-05-06","Australia","1.5m compliance","No",17,1014
"2020-05-06","Australia","1.5m compliance","Rarely",24,1014
"2020-05-06","Australia","1.5m compliance","Sometimes",84,1014
"2020-05-06","Australia","1.5m compliance","Often",352,1014
"2020-05-06","Australia","1.5m compliance","Always",537,1014
"2020-05-06","Australia","hand hygine","Yes, I washed or sanitised my hands immediately afterward",683,1014
"2020-05-06","Australia","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",237,1014
"2020-05-06","Australia","hand hygine","No",94,1014
"2020-05-13","Australia","cough","Your elbow",1057,2030
"2020-05-13","Australia","cough","Your hand",260,2030
"2020-05-13","Australia","cough","A tissue",412,2030
"2020-05-13","Australia","cough","Something else (e.g. a hanky, clothing)",224,2030
"2020-05-13","Australia","cough","Nothing",77,2030
"2020-05-13","Australia","non-household contact","No",1564,2030
"2020-05-13","Australia","non-household contact","Yes",466,2030
"2020-05-13","Australia","1.5m compliance","No",31,2030
"2020-05-13","Australia","1.5m compliance","Rarely",50,2030
"2020-05-13","Australia","1.5m compliance","Sometimes",184,2030
"2020-05-13","Australia","1.5m compliance","Often",718,2030
"2020-05-13","Australia","1.5m compliance","Always",1047,2030
"2020-05-13","Australia","hand hygine","Yes, I washed or sanitised my hands immediately afterward",1349,2030
"2020-05-13","Australia","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",537,2030
"2020-05-13","Australia","hand hygine","No",144,2030
"2020-05-20","Australia","cough","Your elbow",1127,2052
"2020-05-20","Australia","cough","Your hand",253,2052
"2020-05-20","Australia","cough","A tissue",370,2052
"2020-05-20","Australia","cough","Something else (e.g. a hanky, clothing)",218,2052
"2020-05-20","Australia","cough","Nothing",84,2052
"2020-05-20","Australia","non-household contact","No",1496,2052
"2020-05-20","Australia","non-household contact","Yes",556,2052
"2020-05-20","Australia","1.5m compliance","No",34,2052
"2020-05-20","Australia","1.5m compliance","Rarely",55,2052
"2020-05-20","Australia","1.5m compliance","Sometimes",226,2052
"2020-05-20","Australia","1.5m compliance","Often",727,2052
"2020-05-20","Australia","1.5m compliance","Always",1010,2052
"2020-05-20","Australia","hand hygine","Yes, I washed or sanitised my hands immediately afterward",1353,2052
"2020-05-20","Australia","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",538,2052
"2020-05-20","Australia","hand hygine","No",161,2052
"2020-05-27","Australia","cough","Your elbow",1087,2017
"2020-05-27","Australia","cough","Your hand",263,2017
"2020-05-27","Australia","cough","A tissue",337,2017
"2020-05-27","Australia","cough","Something else (e.g. a hanky, clothing)",254,2017
"2020-05-27","Australia","cough","Nothing",76,2017
"2020-05-27","Australia","non-household contact","No",1408,2017
"2020-05-27","Australia","non-household contact","Yes",609,2017
"2020-05-27","Australia","1.5m compliance","No",35,2017
"2020-05-27","Australia","1.5m compliance","Rarely",61,2017
"2020-05-27","Australia","1.5m compliance","Sometimes",253,2017
"2020-05-27","Australia","1.5m compliance","Often",743,2017
"2020-05-27","Australia","1.5m compliance","Always",925,2017
"2020-05-27","Australia","hand hygine","Yes, I washed or sanitised my hands immediately afterward",1300,2017
"2020-05-27","Australia","hand hygine","I washed or sanitised my hands as soon as I could, but there was a delay",554,2017
"2020-05-27","Australia","hand hygine","No",163,2017
