date,state,question,response,count,respondents
2020-07-08,ACT,1.5m compliance,Always,30,95
2020-07-08,ACT,1.5m compliance,No,2,95
2020-07-08,ACT,1.5m compliance,Often,43,95
2020-07-08,ACT,1.5m compliance,Rarely,4,95
2020-07-08,ACT,1.5m compliance,Sometimes,16,95
2020-07-08,ACT,cough,A tissue,20,95
2020-07-08,ACT,cough,"Something else (e.g. a hanky, clothing)",7,95
2020-07-08,ACT,cough,Your elbow,46,95
2020-07-08,ACT,cough,Your hand,22,95
2020-07-08,ACT,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",37,95
2020-07-08,ACT,hand hygine,No,5,95
2020-07-08,ACT,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",53,95
2020-07-08,ACT,non-household contact,No,58,95
2020-07-08,ACT,non-household contact,Yes,37,95
2020-07-08,NSW,1.5m compliance,Always,151,388
2020-07-08,NSW,1.5m compliance,No,9,388
2020-07-08,NSW,1.5m compliance,Often,146,388
2020-07-08,NSW,1.5m compliance,Rarely,15,388
2020-07-08,NSW,1.5m compliance,Sometimes,67,388
2020-07-08,NSW,cough,A tissue,81,388
2020-07-08,NSW,cough,Nothing,10,388
2020-07-08,NSW,cough,"Something else (e.g. a hanky, clothing)",45,388
2020-07-08,NSW,cough,Your elbow,205,388
2020-07-08,NSW,cough,Your hand,47,388
2020-07-08,NSW,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",94,388
2020-07-08,NSW,hand hygine,No,22,388
2020-07-08,NSW,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",272,388
2020-07-08,NSW,non-household contact,No,244,388
2020-07-08,NSW,non-household contact,Yes,144,388
2020-07-08,NT,1.5m compliance,Always,5,27
2020-07-08,NT,1.5m compliance,No,2,27
2020-07-08,NT,1.5m compliance,Often,15,27
2020-07-08,NT,1.5m compliance,Rarely,4,27
2020-07-08,NT,1.5m compliance,Sometimes,1,27
2020-07-08,NT,cough,A tissue,7,27
2020-07-08,NT,cough,"Something else (e.g. a hanky, clothing)",5,27
2020-07-08,NT,cough,Your elbow,12,27
2020-07-08,NT,cough,Your hand,3,27
2020-07-08,NT,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",7,27
2020-07-08,NT,hand hygine,No,4,27
2020-07-08,NT,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",16,27
2020-07-08,NT,non-household contact,No,15,27
2020-07-08,NT,non-household contact,Yes,12,27
2020-07-08,QLD,1.5m compliance,Always,142,368
2020-07-08,QLD,1.5m compliance,No,6,368
2020-07-08,QLD,1.5m compliance,Often,156,368
2020-07-08,QLD,1.5m compliance,Rarely,8,368
2020-07-08,QLD,1.5m compliance,Sometimes,56,368
2020-07-08,QLD,cough,A tissue,62,368
2020-07-08,QLD,cough,Nothing,7,368
2020-07-08,QLD,cough,"Something else (e.g. a hanky, clothing)",50,368
2020-07-08,QLD,cough,Your elbow,199,368
2020-07-08,QLD,cough,Your hand,50,368
2020-07-08,QLD,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",114,368
2020-07-08,QLD,hand hygine,No,38,368
2020-07-08,QLD,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",216,368
2020-07-08,QLD,non-household contact,No,230,368
2020-07-08,QLD,non-household contact,Yes,138,368
2020-07-08,SA,1.5m compliance,Always,117,311
2020-07-08,SA,1.5m compliance,Often,145,311
2020-07-08,SA,1.5m compliance,Rarely,11,311
2020-07-08,SA,1.5m compliance,Sometimes,38,311
2020-07-08,SA,cough,A tissue,53,311
2020-07-08,SA,cough,Nothing,5,311
2020-07-08,SA,cough,"Something else (e.g. a hanky, clothing)",35,311
