lga_id,lga_name,cluster_id,cluster_name,proportion
20110,Alpine (S),1,North Metro,0.0368
20110,Alpine (S),2,South & East Metro,0.0059
20110,Alpine (S),3,South Metro,0.0166
20110,Alpine (S),4,West Metro,0.0609
20110,Alpine (S),5,Barwon South West,0.0011
20110,Alpine (S),6,Gippsland,0.0017
20110,Alpine (S),8,Hume,0.8751
20110,Alpine (S),9,Loddon Mallee,0.002
20260,Ararat (RC),1,North Metro,0.0187
20260,Ararat (RC),2,South & East Metro,0.0034
20260,Ararat (RC),3,South Metro,0.0145
20260,Ararat (RC),4,West Metro,0.0338
20260,Ararat (RC),5,Barwon South West,0.0262
20260,Ararat (RC),7,Grampians,0.9013
20260,Ararat (RC),8,Hume,0.0002
20260,Ararat (RC),9,Loddon Mallee,0.0021
20570,Ballarat (C),1,North Metro,0.0154
20570,Ballarat (C),2,South & East Metro,0.0037
20570,Ballarat (C),3,South Metro,0.0125
20570,Ballarat (C),4,West Metro,0.0504
20570,Ballarat (C),5,Barwon South West,0.0168
20570,Ballarat (C),6,Gippsland,0.0006
20570,Ballarat (C),7,Grampians,0.8974
20570,Ballarat (C),8,Hume,0.0007
20570,Ballarat (C),9,Loddon Mallee,0.0025
20660,Banyule (C),1,North Metro,0.8723
20660,Banyule (C),2,South & East Metro,0.0249
20660,Banyule (C),3,South Metro,0.0133
20660,Banyule (C),4,West Metro,0.0849
20660,Banyule (C),5,Barwon South West,0.0015
20660,Banyule (C),6,Gippsland,0.0009
20660,Banyule (C),7,Grampians,0.0004
20660,Banyule (C),8,Hume,0.0011
20660,Banyule (C),9,Loddon Mallee,0.0008
20740,Bass Coast (S),1,North Metro,0.0283
20740,Bass Coast (S),2,South & East Metro,0.1917
20740,Bass Coast (S),3,South Metro,0.0807
20740,Bass Coast (S),4,West Metro,0.0339
20740,Bass Coast (S),5,Barwon South West,0.0005
20740,Bass Coast (S),6,Gippsland,0.6637
20740,Bass Coast (S),7,Grampians,0.0002
20740,Bass Coast (S),8,Hume,0.0006
20740,Bass Coast (S),9,Loddon Mallee,0.0004
20830,Baw Baw (S),1,North Metro,0.0192
20830,Baw Baw (S),2,South & East Metro,0.1579
20830,Baw Baw (S),3,South Metro,0.0324
20830,Baw Baw (S),4,West Metro,0.0287
20830,Baw Baw (S),5,Barwon South West,0.0008
20830,Baw Baw (S),6,Gippsland,0.7593
20830,Baw Baw (S),7,Grampians,0.0003
20830,Baw Baw (S),8,Hume,0.0005
20830,Baw Baw (S),9,Loddon Mallee,0.001
20910,Bayside (C),1,North Metro,0.0256
