,country,deaths_before,deaths_unmitigated,deaths_opti_deaths,deaths_opti_yoll,yoll_before,yoll_unmitigated,yoll_opti_deaths,yoll_opti_yoll
0,belgium,4.5 (2.3-8.0),23.3 (15.2-32.5),1.8 (1.5-2.7),1.8 (1.4-6.2),107.0 (60.0-173.0),474.0 (354.0-590.0),120.0 (97.0-146.0),82.0 (65.0-149.0)
1,belgium,4.5 (2.3-8.0),23.3 (15.2-32.5),0.8 (0.6-1.3),0.8 (0.5-1.2),107.0 (60.0-173.0),474.0 (354.0-590.0),38.0 (25.0-52.0),30.0 (20.0-42.0)
2,france,36.2 (20.4-62.1),294.1 (208.2-382.1),7.7 (6.1-16.7),8.0 (6.2-19.1),539.0 (320.0-871.0),4112.0 (3321.0-5190.0),269.0 (223.0-364.0),261.0 (214.0-407.0)
3,france,36.2 (20.4-62.1),294.1 (208.2-382.1),6.9 (3.9-13.4),6.0 (3.4-12.8),539.0 (320.0-871.0),4112.0 (3321.0-5190.0),302.0 (181.0-422.0),214.0 (128.0-303.0)
4,italy,44.2 (25.8-72.9),315.7 (198.1-394.8),10.8 (8.3-39.2),19.2 (14.6-59.2),695.0 (423.0-1070.0),4327.0 (3377.0-5115.0),490.0 (402.0-741.0),476.0 (395.0-941.0)
5,italy,44.2 (25.8-72.9),315.7 (198.1-394.8),6.6 (4.6-9.3),7.6 (5.2-10.7),695.0 (423.0-1070.0),4327.0 (3377.0-5115.0),367.0 (271.0-462.0),326.0 (236.0-410.0)
6,spain,29.0 (13.7-52.8),208.3 (153.9-266.1),7.5 (5.3-25.0),8.0 (5.6-26.3),442.0 (210.0-716.0),3020.0 (2509.0-3722.0),247.0 (203.0-467.0),236.0 (191.0-477.0)
7,spain,29.0 (13.7-52.8),208.3 (153.9-266.1),4.8 (3.2-7.2),5.1 (3.4-7.7),442.0 (210.0-716.0),3020.0 (2509.0-3722.0),198.0 (130.0-254.0),180.0 (118.0-229.0)
8,sweden,5.9 (2.6-10.1),23.9 (13.7-37.2),4.9 (4.0-6.6),5.8 (4.6-7.8),101.0 (48.0-173.0),396.0 (257.0-555.0),215.0 (160.0-289.0),228.0 (167.0-310.0)
9,sweden,5.9 (2.6-10.1),23.9 (13.7-37.2),1.3 (0.9-2.1),2.6 (1.6-4.2),101.0 (48.0-173.0),396.0 (257.0-555.0),78.0 (45.0-116.0),105.0 (58.0-159.0)
10,united-kingdom,24.4 (13.1-49.6),258.5 (200.3-355.3),8.8 (7.2-12.2),8.4 (6.8-11.9),452.0 (259.0-965.0),4059.0 (3439.0-4853.0),319.0 (276.0-375.0),294.0 (253.0-347.0)
11,united-kingdom,24.4 (13.1-49.6),258.5 (200.3-355.3),6.7 (4.8-10.4),6.4 (4.5-10.2),452.0 (259.0-965.0),4059.0 (3439.0-4853.0),258.0 (202.0-331.0),232.0 (180.0-300.0)
