,country,deaths_before,deaths_unmitigated,deaths_opti_deaths,deaths_opti_yoll,yoll_before,yoll_unmitigated,yoll_opti_deaths,yoll_opti_yoll
0,belgium,4.7 (3.3-7.5),89.0 (66.8-111.7),56.6 (42.1-71.9),56.6 (42.2-72.2),106.0 (77.0-164.0),1797.0 (1383.0-2098.0),1266.0 (975.0-1500.0),1210.0 (928.0-1433.0)
1,belgium,4.7 (3.3-7.5),89.0 (66.8-111.7),22.2 (17.4-29.0),22.1 (16.8-29.1),106.0 (77.0-164.0),1797.0 (1383.0-2098.0),535.0 (438.0-652.0),510.0 (412.0-625.0)
2,france,31.6 (16.8-48.4),864.4 (621.7-1122.2),539.8 (381.1-712.3),541.1 (381.6-714.0),496.0 (282.0-896.0),14244.0 (10751.0-16495.0),9171.0 (6780.0-10698.0),9167.0 (6776.0-10696.0)
3,france,31.6 (16.8-48.4),864.4 (621.7-1122.2),214.4 (153.1-290.4),213.3 (155.2-287.7),496.0 (282.0-896.0),14244.0 (10751.0-16495.0),4290.0 (3144.0-5073.0),4002.0 (3034.0-4763.0)
4,italy,47.3 (29.2-68.2),1072.3 (744.3-1322.0),694.7 (479.2-857.8),702.2 (486.1-868.0),740.0 (537.0-992.0),15290.0 (13148.0-18357.0),10311.0 (8943.0-12427.0),10240.0 (8887.0-12385.0)
5,italy,47.3 (29.2-68.2),1072.3 (744.3-1322.0),285.9 (195.9-353.7),293.4 (199.5-361.8),740.0 (537.0-992.0),15290.0 (13148.0-18357.0),5030.0 (4233.0-6145.0),4887.0 (4163.0-5986.0)
6,spain,26.2 (13.2-52.7),638.2 (466.1-997.2),401.4 (288.8-636.6),402.0 (289.1-637.6),421.0 (241.0-708.0),9850.0 (8348.0-14102.0),6409.0 (5404.0-9247.0),6394.0 (5392.0-9221.0)
7,spain,26.2 (13.2-52.7),638.2 (466.1-997.2),157.4 (108.9-252.9),158.6 (109.7-254.9),421.0 (241.0-708.0),9850.0 (8348.0-14102.0),2908.0 (2390.0-4301.0),2854.0 (2353.0-4211.0)
8,sweden,6.1 (2.6-10.5),96.3 (64.1-115.6),61.4 (40.3-74.7),62.8 (41.3-76.2),104.0 (44.0-169.0),1562.0 (1170.0-1783.0),1243.0 (938.0-1422.0),1262.0 (951.0-1446.0)
9,sweden,6.1 (2.6-10.5),96.3 (64.1-115.6),21.4 (14.0-25.9),26.6 (17.0-31.9),104.0 (44.0-169.0),1562.0 (1170.0-1783.0),556.0 (396.0-652.0),657.0 (456.0-767.0)
10,united-kingdom,28.3 (14.2-49.6),959.3 (701.2-1228.4),606.5 (439.7-786.8),606.3 (439.4-786.4),528.0 (297.0-874.0),15268.0 (12600.0-17529.0),10007.0 (8117.0-11599.0),9969.0 (8083.0-11556.0)
11,united-kingdom,28.3 (14.2-49.6),959.3 (701.2-1228.4),241.9 (175.3-325.9),244.4 (175.1-329.6),528.0 (297.0-874.0),15268.0 (12600.0-17529.0),4458.0 (3711.0-5350.0),4401.0 (3643.0-5288.0)
